index,year,week,men.deaths,men.predicted,men.excess,women.deaths,women.predicted,women.excess
2020.1,2020,1,1092,1191,-99,1153,1257,-104
2020.2,2020,2,1677,1578,99,1687,1661,26
2020.3,2020,3,1530,1582,-52,1627,1668,-41
2020.4,2020,4,1470,1590,-120,1576,1678,-102
2020.5,2020,5,1578,1584,-6,1586,1675,-89
2020.6,2020,6,1593,1582,11,1603,1675,-72
2020.7,2020,7,1506,1577,-71,1692,1673,19
2020.8,2020,8,1485,1571,-86,1474,1667,-193
2020.9,2020,9,1504,1563,-59,1594,1660,-66
2020.10,2020,10,1519,1554,-35,1588,1650,-62
2020.11,2020,11,1596,1542,54,1622,1638,-16
2020.12,2020,12,1872,1530,342,1742,1624,118
2020.13,2020,13,2366,1516,850,2092,1608,484
2020.14,2020,14,2667,1516,1151,2418,1603,815
2020.15,2020,15,2529,1503,1026,2453,1593,860
2020.16,2020,16,2128,1468,660,2180,1553,627
2020.17,2020,17,1935,1451,484,1975,1533,442
2020.18,2020,18,1674,1434,240,1709,1512,197
2020.19,2020,19,1464,1417,47,1525,1491,34
2020.20,2020,20,1419,1401,18,1358,1471,-113
2020.21,2020,21,1388,1403,-15,1382,1470,-88
2020.22,2020,22,1330,1394,-64,1402,1457,-55
2020.23,2020,23,1373,1356,17,1309,1413,-104
2020.24,2020,24,1314,1360,-46,1375,1414,-39
2020.25,2020,25,1344,1368,-24,1352,1419,-67
2020.26,2020,26,1317,1402,-85,1342,1453,-111
2020.27,2020,27,1280,1318,-38,1358,1359,-1
2020.28,2020,28,1218,1309,-91,1401,1346,55
2020.29,2020,29,1235,1331,-96,1293,1366,-73
2020.30,2020,30,1319,1327,-8,1354,1360,-6
2020.31,2020,31,1299,1355,-56,1367,1387,-20
2020.32,2020,32,1321,1420,-99,1321,1456,-135
2020.33,2020,33,1541,1450,91,1668,1487,181
2020.34,2020,34,1422,1382,40,1434,1411,23
2020.35,2020,35,1349,1324,25,1386,1347,39
2020.36,2020,36,1331,1334,-3,1361,1357,4
2020.37,2020,37,1352,1349,3,1390,1373,17
2020.38,2020,38,1375,1411,-36,1346,1441,-95
2020.39,2020,39,1437,1372,65,1454,1399,55
2020.40,2020,40,1503,1387,116,1499,1416,83
2020.41,2020,41,1573,1403,170,1449,1434,15
2020.42,2020,42,1615,1419,196,1607,1454,153
2020.43,2020,43,1809,1436,373,1639,1474,165
2020.44,2020,44,1865,1453,412,1822,1495,327
2020.45,2020,45,1856,1470,386,1733,1516,217
2020.46,2020,46,1802,1486,316,1778,1536,242
2020.47,2020,47,1704,1502,202,1631,1556,75
2020.48,2020,48,1735,1517,218,1670,1576,94
2020.49,2020,49,1770,1531,239,1760,1594,166
2020.50,2020,50,1850,1544,306,1765,1611,154
2020.51,2020,51,1955,1555,400,1954,1626,328
2020.52,2020,52,3131,2326,805,3105,2430,675
2021.1,2021,1,2987,2173,814,2899,2267,632
2021.2,2021,2,1945,1599,346,1905,1677,228
2021.3,2021,3,1900,1603,297,1963,1685,278
2021.4,2021,4,1868,1606,262,1846,1690,156
2021.5,2021,5,1870,1605,265,1785,1692,93
2021.6,2021,6,1783,1723,60,1768,1784,-16
2021.7,2021,7,1697,1599,98,1834,1689,145
2021.8,2021,8,1625,1593,32,1580,1684,-104
2021.9,2021,9,1553,1602,-49,1552,1689,-137
2021.10,2021,10,1621,1575,46,1623,1666,-43
2021.11,2021,11,1558,1564,-6,1486,1654,-168
2021.12,2021,12,1560,1551,9,1486,1640,-154
2021.13,2021,13,1635,1537,98,1541,1625,-84
2021.14,2021,14,1656,1522,134,1509,1607,-98
2021.15,2021,15,1593,1518,75,1547,1598,-51
2021.16,2021,16,1621,1489,132,1523,1569,-46
2021.17,2021,17,1530,1473,57,1591,1549,42
2021.18,2021,18,1527,1456,71,1481,1528,-47
2021.19,2021,19,1570,1439,131,1447,1508,-61
2021.20,2021,20,1485,1422,63,1505,1487,18
2021.21,2021,21,1409,1407,2,1396,1467,-71
2021.22,2021,22,1483,1439,44,1527,1499,28
2021.23,2021,23,1425,1429,-4,1459,1485,-26
2021.24,2021,24,1421,1441,-20,1449,1495,-46
2021.25,2021,25,1343,1356,-13,1330,1399,-69
2021.26,2021,26,1410,1356,54,1382,1396,-14
2021.27,2021,27,1421,1363,58,1416,1400,16
2021.28,2021,28,1403,1364,39,1470,1398,72
2021.29,2021,29,1349,1371,-22,1427,1403,24
2021.30,2021,30,1488,1339,149,1428,1365,63
2021.31,2021,31,1425,1337,88,1533,1361,172
2021.32,2021,32,1402,1364,38,1439,1388,51
2021.33,2021,33,1429,1331,98,1469,1351,118
2021.34,2021,34,1463,1340,123,1464,1359,105
2021.35,2021,35,1453,1360,93,1407,1379,28
2021.36,2021,36,1503,1407,96,1590,1430,160
2021.37,2021,37,1458,1376,82,1461,1396,65
2021.38,2021,38,1424,1387,37,1466,1407,59
2021.39,2021,39,1551,1393,158,1521,1415,106
2021.40,2021,40,1511,1408,103,1561,1432,129
2021.41,2021,41,1549,1424,125,1515,1451,64
2021.42,2021,42,1598,1441,157,1677,1470,207
2021.43,2021,43,1717,1457,260,1671,1490,181
2021.44,2021,44,1704,1474,230,1814,1511,303
2021.45,2021,45,1932,1491,441,1856,1532,324
2021.46,2021,46,2037,1508,529,1968,1552,416
2021.47,2021,47,2169,1523,646,2023,1572,451
2021.48,2021,48,2223,1538,685,2172,1592,580
2021.49,2021,49,2245,1552,693,2128,1610,518
2021.50,2021,50,1986,1565,421,2067,1627,440
2021.51,2021,51,1864,1622,242,1908,1678,230
2021.52,2021,52,1390,1205,185,1338,1261,77
2022.1,2022,1,2213,1988,225,2176,2074,102
2022.2,2022,2,1575,1613,-38,1582,1688,-106
2022.3,2022,3,1598,1617,-19,1594,1695,-101
2022.4,2022,4,1600,1619,-19,1602,1700,-98
2022.5,2022,5,1673,1619,54,1613,1702,-89
2022.6,2022,6,1594,1617,-23,1660,1702,-42
2022.7,2022,7,1681,1613,68,1697,1699,-2
2022.8,2022,8,1724,1607,117,1627,1694,-67
2022.9,2022,9,1636,1610,26,1597,1696,-99
2022.10,2022,10,1699,1589,110,1688,1677,11
2022.11,2022,11,1838,1578,260,1765,1665,100
2022.12,2022,12,1780,1565,215,1851,1651,200
2022.13,2022,13,1732,1551,181,1833,1635,198
2022.14,2022,14,1704,1536,168,1871,1618,253
2022.15,2022,15,1700,1520,180,1815,1600,215
2022.16,2022,16,1554,1504,50,1681,1580,101
2022.17,2022,17,1518,1487,31,1623,1560,63
2022.18,2022,18,1520,1470,50,1609,1539,70
2022.19,2022,19,1516,1474,42,1611,1542,69
2022.20,2022,20,1462,1466,-4,1595,1530,65
2022.21,2022,21,1455,1421,34,1468,1478,-10
2022.22,2022,22,1455,1406,49,1507,1458,49
2022.23,2022,23,1458,1395,63,1485,1443,42
2022.24,2022,24,1502,1417,85,1510,1464,46
2022.25,2022,25,1554,1410,144,1582,1453,129
2022.26,2022,26,1468,1392,76,1634,1431,203
2022.27,2022,27,1434,1368,66,1539,1401,138
2022.28,2022,28,1510,1397,113,1579,1430,149
2022.29,2022,29,1607,1431,176,1582,1464,118
2022.30,2022,30,1531,1373,158,1602,1397,205
2022.31,2022,31,1503,1399,104,1456,1424,32
2022.32,2022,32,1417,1460,-43,1568,1487,81
2022.33,2022,33,1479,1402,77,1598,1423,175
2022.34,2022,34,1507,1427,80,1532,1449,83
2022.35,2022,35,1432,1421,11,1532,1441,91
2022.36,2022,36,1422,1415,7,1515,1434,81
2022.37,2022,37,1392,1380,12,1426,1396,30
2022.38,2022,38,1493,1393,100,1523,1410,113
2022.39,2022,39,1608,1407,201,1591,1426,165
2022.40,2022,40,1666,1422,244,1641,1443,198
2022.41,2022,41,1693,1438,255,1615,1461,154
2022.42,2022,42,1610,1455,155,1755,1481,274
2022.43,2022,43,1581,1472,109,1725,1501,224
2022.44,2022,44,1572,1489,83,1654,1522,132
2022.45,2022,45,1530,1505,25,1640,1542,98
2022.46,2022,46,1514,1522,-8,1692,1563,129
2022.47,2022,47,1678,1538,140,1726,1583,143
2022.48,2022,48,1733,1553,180,1692,1603,89
2022.49,2022,49,1762,1566,196,1843,1621,222
2022.50,2022,50,1978,1674,304,2007,1711,296
2022.51,2022,51,2066,1590,476,2114,1653,461
2022.52,2022,52,1734,1409,325,1854,1469,385
